"HolderAddress","Balance","PendingBalanceUpdate"
"0x817a5a5c136a86d0b42672d343327828344b5316","159,450.240922574881378802","No"
"0x41d62deacaf26cb686f4ed8d628bbf4622eb54d2","158,513","No"
"0x7a189e289ee12a2a9b9c67ee18337ca00d8c4337","154,612.68521043786915624","No"
"0xffe1ec8ec66d89b18f2b20eeb797e21d888c4149","145,750","No"
"0xf5e1cd3dc5c19e31d90cec2b5fb78adbc7cabce6","144,525.911547633780602955","No"
"0xe7750d2361eb7094695cd87e23e603bbcc922cff","143,725.750441996642486965","No"
"0x81b65c4401e3a67d3de6c61cebdb3cc6694e34aa","142,965.585585087106841115","No"
"0x3acb5eaecfab99d01e86f7068ae7b90479fb50e9","136,299.572745925953319098","No"
"0xbd0b4c05cf02c230cdc2cbe7a6a54979f53d69fa","133,334.345000795572514856","No"
"0x2f3edb4d9492a67504f229ea6604db0f6b692614","132,219.43904","No"
"0xcb4fb05475def265abf08c96382e0e3351b4b3c7","130,249.123673268802422626","No"
"0x5f62706965ea5e1436936c1b0f063b620ab8194f","120,000","No"
"0x7073e0e2ac3b0cd36e3e1fc682c545fd8ed64848","119,435.46699","No"
"0x99bf32980203f8bc9bfd3cc68052a01dd9fa802a","118,689.954985686834430699","No"
"0xffe43cdb4a2f7829e7d1af3617a0e931292cbff9","116,921.516366718831507564","No"
"0x55ff0c0b7ca02a1b68e5f0ee0eae14ee6a8d63c7","116,820.063016258955038844","No"
"0x81b5b96515871355dbadd2f7545087df9d95c846","115,780.787600873937946619","No"
"0x092faf7295ba6f30c4198737a9c1df165108a376","113,380.206372170249122835","No"
"0x67a476867ad1db7ae57a79862ac494ea8614e7fe","112,803.014137535759284571","No"
"0xf5a6b1da3bcf31dc44d331cfe6e9305f28a3ac6f","110,620.668548687948768367","No"
"0xd782d318e778d77ec50d6c72d08bc8636396cc93","110,000.000000096354271039","No"
"0x98bf601942daf652e3cee8196ddaed96ccc8a39c","108,184.789536626129194466","No"
"0xd9cfab54f1234aeea22b2818ab919866a2809c1c","107,012","No"
"0xb0a4cd9a204c596963de93bb2af183b6522286d9","103,000","No"
"0x118ee1097ec3802beb2998ddddb17409fa6658e0","102,674.982804723360148988","No"
"0x326d1a25e717ec624efff8f7e6757217a5dd10fe","100,788.716513485301197404","No"
"0x09a681273bc6ba523e91d7aa641709ea32477909","100,026.96","No"
"0x0a9891b87c6de4911b4c6c45cc102fee718db3f7","100,025.34","No"
"0xf91dda9227e3593e9336aeed081a90cd81aa136f","100,000","No"
"0x0c4ec44be004a3d27da006f949d94cffbaeb86b1","100,000","No"
"0x8ccc08ca0788114db735e95fb9ec0a473db4f750","99,599.115240309803861184","No"
"0x0485d4ff3d2cad12c91daeb307fd03d640d3dda9","96,350.607698422520401971","No"
"0xd6a05ab24ea0a698627f282145b803b7c36046b9","95,769.829878","No"
"0xe649edcb64ea6512a95b150da18bfd20c84bc549","93,636","No"
"0x07d931f2f4f24f70aa8ad1418bba9c46e6873269","93,213.790836781446723854","No"
"0x1cc3dfb055e643eef1cf72f409b63f2acee6e28f","92,971.597682866755889893","No"
"0x94e27ec9172e8f25462d42042e725b9e8ed71774","91,159.247825218350031939","No"
"0xd1147109c7e6cb663d92f60b6d0ef39ecd24feee","90,552.15","No"
"0x6c41ad28f61292cb699ee1cc1af23e8b005b27df","90,328.694717271112858701","No"
"0xf116347bc7cb9225c5de4a66d92d6b49db1b45a2","90,000","No"
"0x6af7dd75a49d3183e596b05f2d920cc31a6d74ce","89,871.981194959770463186","No"
"0x9ab73dcfcc4705bcecb4d6afac1048eef1471d30","88,604","No"
"0xded589352d50f8a589d262c32288d6fe963fd78e","88,413.670531609940747601","No"
"0xfa615a89b46fc9aea077371a4da49fd4c09988ed","88,292.735126574615990119","No"
"0xf267dfe8a991ab2ccf5ea3fddc24a41a58054276","87,917.382136440039413435","No"
"0xe4f2a8cbdb97dcd484b39d9b60476a9c5a6b3a49","87,525.697708970909352353","No"
"0x3c158648252812dc71ae79487e3957a4d576849b","87,520.180263657839861553","No"
"0x87c2dd5e3d2d78db716b3bd4e026eb5c0f9d11ff","86,793.42813771","No"
"0xfbad51028ca1a60f8575058690f754cc0d3e1d72","85,714.29","No"
"0x251cbecd422cf787120a81d5690275f20987bb6d","84,582.894145575472261914","No"
"0x85619ccb02556f8930af9b08305c2481062ca324","84,366.847244800001412587","No"
"0x0358970e0c9d6927218b16eba97b801f61f69f9b","84,210.72","No"
"0xb7ca0de915234ba820f2654bd1b6466bf60c3c51","83,387.24121725386635693","No"
"0xc3a407cfed23b3b280abf6120f4544aaa7ef05f0","83,320","No"
"0x6c1225202f38e5a0bb25ddc21ff00f75ec898e7b","82,223.078645447673314489","No"
"0x5b64d91b73c344737fd40f874b71eaae243733dd","81,605.022079111552360377","No"
"0xeb11f0994c83efd208e8a257593e83691d2389ba","80,316.194244807273078102","No"
"0x3a294e9b4066986bb627316310022a7b3ae27718","79,650","No"
"0x3907cc4a8a04f44b9376e3ddfc7dbad82ef98152","78,483.91249","No"
"0xc1ab0c9d3a9b8ae3f3a1a7a35bb3c2d411b14469","77,965.550937916801065309","No"
"0x3efac0d9e31b31ce21829d1f52ac3672b6e09eff","77,735.309727300317039014","No"
"0x02edc872e768f363816a029681b9622c532676f8","77,130.394981338418366648","No"
"0xf9104c6957c8924280c0fabe981a6208aeb5fd1a","76,507.945338412280234614","No"
"0x57d3aa4df8d098b5410ca11e46264729800141d5","76,173.416718237221165409","No"
"0x1ebd2ffba73f702634071e8c31e56182bebddc23","75,887.171262586165869888","No"
"0xe65cb1d428accc9a2fd37083806db2ccaaee26e8","75,704.12","No"
"0x9ac0def904e737d210451e9ff443aacbef4bec2d","75,522.541745858401273634","No"
"0x923749a52709f4bf5c585ffc4e9c790bb9781617","75,474.881442006703282952","No"
"0x3c1da462b2906ba712cccfbc8ac7c076a925a92c","74,886.849962961736645202","No"
"0x6fce77dd5cc98e64bcdbc812ed298427b06b6747","74,776.881690851665161096","No"
"0xd8b009dbb2471270b952c596b304530cf4dfcc4e","71,355.560200366190648091","No"
"0xbc25c3f77728ec52d1bd7f9449bde9d98056968a","70,730.936425287952548752","No"
"0xe480397fc70d5a39170aae2c4dd5218ff7d5f85d","70,000","No"
"0x5e025be41f9e06625ab6030a4c9e19767791e9ac","69,605.571328854385422441","No"
"0x2d6b71787567ff6f767382ac04476bf5c9697acd","69,495.181115690649082791","No"
"0xe9b6f7f2228619d8d64e3c2800c3a56b238348f1","67,710.9918112778013","No"
"0xe834450dddfd61addcb4a1110b8d9b94254afe3f","66,935.19872637760376694","No"
"0x5864824446d298d983e779307b7db6b150568c77","66,881","No"
"0x80b188d8e5361aa5ffe735205eb9d9e2e4f857f6","66,675.08641746204799933","No"
"0xa5590b7c9a16d7d7d9c160ddee9320799eef3a6c","66,498.862814257924391589","No"
"0x798bbffc0814505ea43a47d9df74880b5d315836","66,385.61390485982209836","No"
"0xad15a2c6619a45a28bd7da980a6abb0fbcb637d3","66,367.767321826390027726","No"
"0xb6a14063d25d67b7f9efaeae643947616560f174","65,561.077699931018724656","No"
"0x6c00e4940e53e5b7f78a1a61cdbd42f3423f8db6","65,426.389728861810363678","No"
"0x918c6f33887d0a7f061dd8e96399391fe68bc211","65,366.23","No"
"0xbf1eb40d91f9c750a6945afcee66b3e52aeb25aa","65,168.405497729434540737","No"
"0xc24168f2af8b2797af8f4d4f40e8821b9d5c374d","65,146.099603471874083065","No"
"0xbd3d7c9b12415946529c6d8bc574367722a39864","64,181.323447155973611992","No"
"0xf6f62bab35907565c5ad3d4c1093b7f90762c021","63,677.636832135209647104","No"
"0x120f8c358c905feccd0d7bee18d129ae6b412dd6","63,492.08","No"
"0xac65f328af791864cb8edf70936cbf32407e9d4d","63,020","No"
"0x17dafd6bfa960722a07a3151532d1f6bc4f308a3","62,634.454205995108072954","No"
"0x4cd9b5052f426d1e0c1799fa13825ea94984efe7","62,399","No"
"0x96726a72a99df292e8a6af79ae6113fc52c85998","62,354.784974227980531454","No"
"0xae4dea984d263619c1c8d85ad129cb1dfbb7e077","61,883.515768614237282065","No"
"0x93b1ca6cd1dcb9bbaf7b10b4076d77c5240c5883","60,908.830159511328299034","No"
"0x2f365624c31cdb9aec9acc6b395deb155601bfee","60,580.444590383159687857","No"
"0x6b59f2d340f39dbaf1b0a10ce82686683fc20b70","60,551.61199193991875673","No"
"0xce33744626ca5923d0bae1ccc4907012a944ebe3","60,279.34894132558928166","No"
"0x5b5b66dc193d256c991b0191dd88c137cf818ea7","60,219.129811514075287526","No"
"0x54a8bd264ada44666b02fc69033003040695f2cc","60,219.129811514075287526","No"
"0xedd5d0a80724154c3a7efc0aa65e5266f3627471","60,055.224846188798554652","No"
"0x53892a21ead91e029a263b7a62f91f79ac9bb572","60,000.193303255990571483","No"
"0x70b52934105f6b4a5e5fd4b7eb17164f023f3865","59,848.309820422042451703","No"
"0xd036ddaf5b06cfbae99e6e679511925a77d6113a","58,748.68481972786811303","No"
"0xdf31b539652665701e59062a72f4cc44fdddce68","58,643.29","No"
"0x42def979cb5d36a947a1362fda749c1aa1798d6d","57,830.87","No"
"0x10e854f4f81788de24acfa8d0d6c59324e581b6d","57,821.842144471888076811","No"
