HolderAddress,Quantity,PendingBalanceUpdate
0x027a5ce58fc466d0e3a9d1990404354029398541,33,No
0x2ba43f62f3dc12bd9f5771c522889b507931fcf8,5,No
0x6cfd3f4ef35a843bbce72360980bf0b0847026d3,4,No
0x1715292de4595cd3903984880c0d2c9ff4ac9999,3,No
0x8b2a8467d0b1ac6518fa13fe9ff0479963e88997,3,No
0x8bb34d77f0a588668b0400ec1ccc27568ce800d9,3,No
0x4502f749360c4c01dfaa8a6eecd945c037f18fcc,2,No
0xa950555cb3249f9baf0c2149459174592c79efac,2,No
0xfcfb5e9d243c862ae7da3c2f1c10636277728644,2,No
0xf78ef100dd63f62cdc0ba7324b43ab7074e8262f,2,No
0x209a32b7d76ba58851a7c5bb550f226f0b7d18a0,1,No
0x227f2a622aeefeead40f3aa2b43388268a59de94,1,No
0x2799aa9a16592847fe8314fd6072a516402557ea,1,No
0x3257942b7b2fcc000e8d49e8fbae675dd1b4a50e,1,No
0x3f26cba8effde6b187875ded42dd5de9b6afb6c2,1,No
0x4090cf3f6e39dabac71c0092394084db4f183599,1,No
0x44af32e540eb4a2a71a9e9b5e860d4019065d038,1,No
0x4f942d6a8e36880f68120f93c312ea221cd0b3d1,1,No
0x55e73ab2050f4abe97d7d6085c62b80250f7ec71,1,No
0x59c6c112547b9e9f884cd89ab2d0194c0cee5bcf,1,No
0x5d0531a503b7e1bc101a53d1532700f9aad315c3,1,No
0x636d26031441d889476ce82e60d94500d2496461,1,No
0x6c1298e088d1eee8e2df160d3ce7ed4b67b12a3d,1,No
0x6d8de2f7bf11e06690bb21907d24da6136b215d4,1,No
0x6fe431ef73bebab0959339e1cbf81c89e662a2f7,1,No
0x74d493ae09f72a56c665a3c80bcca1c44d2b622f,1,No
0x791a304547bbe77c3f780e0375762dce478a1c05,1,No
0x7adff8fde84f0288f11c8d05f168d2795239b437,1,No
0x80475ececd1b7ec2cf6624b1a1705bbf3f20be94,1,No
0x80c979eebc4723e046f1629c77e50002d1dcf3fa,1,No
0x8339eecc76e2284bacd32aacaf76dd6ed90f0770,1,No
0x874683b39accd62b952d6f13e10e41ce8306af7c,1,No
0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76,1,No
0x0c92178e90b2759d47692a8bf14e983c9f39fdaf,1,No
0x96706eb471f875a9a41442f358d3b34ba02f868b,1,No
0x9a25feddde1f7424b778941effbfe7b3f85d7f5d,1,No
0x9bb9f3e436059f9c9e90fd25f3ffd419ef68f7b1,1,No
0x9e83cf83d126374ddcf77a7d0e2eb418d3cb1b2c,1,No
0x9f57f24c5fb986e1904cf629577ea55586ff8adc,1,No
0x0db469e2272d534c09b3ca5984bf8b2c8f89d445,1,No
0xaba654110c0379c79d5387d6d5c593c1855b4ba9,1,No
0xb233f2210183d823166ebe37e067d5acd56f791f,1,No
0xb2937626152956d7b5bfffd4a22d021c8592d6be,1,No
0xb5ef18024439930d806950d0c7cd7f916bfba68a,1,No
0xb5f98526f9be330b9d4fb2ece099c9b5f88094f9,1,No
0xb691b33ff0f88995ef2d143681463a01bc9d48b4,1,No
0x0f927974e4c2e952cabc1fa6be88155402492a7c,1,No
0xba0ab3161197439c073e1cc6d5197b138f1c2148,1,No
0xc1e97b71f1a6d94a61bc3b2d3163402f49aef3ce,1,No
0xc2be6976c3b1fc6b22c0c441669314ec7177be91,1,No
0xc53c080989e6264537ae95d38260fa93fc37a08f,1,No
0xcaacb5cc54097ab7088f6488e05a090be5665c8c,1,No
0xd21a2374d31d8e28a8019eaa6844c9322e5d51ae,1,No
0xb7d672703e7987715912a0784be91b27d1098c89,1,No
0xe0c2e2920cb90aa58cf1b551ac87cf5285a1f13a,1,No
0xe7750d2361eb7094695cd87e23e603bbcc922cff,1,No
0xecdd674fc5ab9d8127bdb898bd8f5251d4dac2b8,1,No
0xed59df5273ee0b0fe53b5422a8c316d09bcec78d,1,No
0x172ee143907b3afa6050ed2627872110aab62790,1,No
0xfc51a4bcf7b8ad1e22fd34fbf083a902c5db70e5,1,No
0xd437c37c8d4042bae1b4faf4e3d6cab80ce39ce6,1,No
