"HolderAddress","Quantity","PendingBalanceUpdate"
"0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","2","No"
"0x227f2a622aeefeead40f3aa2b43388268a59de94","1","No"
"0x3ac53bbab3a2b91fe1cc6ada38d4d11a02a83f89","1","No"
"0x4090cf3f6e39dabac71c0092394084db4f183599","1","No"
"0x682538bb000e405f4d3fef3cea118e50f5f964cb","1","No"
"0x6c1298e088d1eee8e2df160d3ce7ed4b67b12a3d","1","No"
"0x791a304547bbe77c3f780e0375762dce478a1c05","1","No"
"0x82c2ff3f99ed2216f6f55de7b5e485f391732007","1","No"
"0x874683b39accd62b952d6f13e10e41ce8306af7c","1","No"
"0x8b2a8467d0b1ac6518fa13fe9ff0479963e88997","1","No"
"0x916375018b118eebb54eb77873e0a524a0959b34","1","No"
"0x935ab102bda39ee9c339d4b20510ace59b7ae35f","1","No"
"0xc5fc55c9d70775a832ccab580cb59217c3740516","1","No"
"0xd437c37c8d4042bae1b4faf4e3d6cab80ce39ce6","1","No"
"0xfa55f550d8c2ec8778d81e09c3298b60ff0b8c94","1","No"
