"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x1936445be37653b215ad2186e56f49b11a85d8997d5391b9f4dfd65e715b6f01","16414832","1719619011","2024-06-28 23:56:51","0xfb85b9ec50560e302ab106f1e2857d95132120d0","0xb732e1754ca477e257e2908a87919cafc5933583","550","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x9d8c1f89eee32a77f228853864d5ad65f5fc95dcd2423f5e61c1707a2bbce42a","16414928","1719619203","2024-06-29 00:00:03","0xfb85b9ec50560e302ab106f1e2857d95132120d0","0xb732e1754ca477e257e2908a87919cafc5933583","53,000","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x3cc47e11fb4756cecb9a97af5ff5719e3b710a93914eff1a08f08e1c2271576d","16415991","1719621329","2024-06-29 00:35:29","0x2f63eeccfef984bbecb30758f6f2a0c0427d5812","0xfb85b9ec50560e302ab106f1e2857d95132120d0","299.7","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x6c4bc79156cbcd3e74ba0c2379735b2cedf6153bc30e50329dac15c13c6ee8a9","16416262","1719621871","2024-06-29 00:44:31","0x323fa1a506012b62f38bd4e3af12fce6d1f2254e","0xfb85b9ec50560e302ab106f1e2857d95132120d0","14,366","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xd0ec5b0782d30a1495ec5919e0da65bb6f76f5a028155df1f0d14fc494909a16","16416318","1719621983","2024-06-29 00:46:23","0x34924a4549b28d23eeebe6c4fb4fe30e2ff72827","0xfb85b9ec50560e302ab106f1e2857d95132120d0","12,442","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x19783abea30a7dd20b26bcc6bb3f14a14b9bdf47dcfd80602b7e888905fc4120","16416837","1719623021","2024-06-29 01:03:41","0x02fce2eeca511db002bd5cb9ad5c70d6acca9936","0xfb85b9ec50560e302ab106f1e2857d95132120d0","16,414","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xbd0fb8d3de6fe619122eb288575b9188143c6b9153cf176ffe38b7e38005d8b7","16416973","1719623293","2024-06-29 01:08:13","0x3f59b5e85a9f6c3c94fbcd61b486e44b4f6b5e9f","0xfb85b9ec50560e302ab106f1e2857d95132120d0","15,190","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x076f3c7160ebf2ce0078487ae98e3f1b1baaee79d90a24195dbf2d587b59c9d7","16417085","1719623517","2024-06-29 01:11:57","0xb080e3e7cd25aafd1cb27070491ca8decb9602d9","0xfb85b9ec50560e302ab106f1e2857d95132120d0","11,716","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x6f43ec1ee42fed722f7e36ea25f9d5b3f1f970381f7c8fa14d724df8b41854df","16417174","1719623695","2024-06-29 01:14:55","0x8587e11b68c4e4a260b9ddf5d1fb10b5182cdcea","0xfb85b9ec50560e302ab106f1e2857d95132120d0","16,757","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x8e8e208133fd5047ac141e9878cc9af9af9cb80418280b5d161fe022647c5101","16417378","1719624103","2024-06-29 01:21:43","0x80475ececd1b7ec2cf6624b1a1705bbf3f20be94","0xfb85b9ec50560e302ab106f1e2857d95132120d0","5,153","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x81592d25b5bf7352f12abf6872288b1fd3c5d0f6ef4d3da4dc2bf953b6a451e5","16417462","1719624271","2024-06-29 01:24:31","0xf78ef100dd63f62cdc0ba7324b43ab7074e8262f","0xfb85b9ec50560e302ab106f1e2857d95132120d0","5,245","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x5368c9a528af7ea5401279fb7f41b0b90d75ee13b7f30d4851223c65bf3b6b4a","16417549","1719624445","2024-06-29 01:27:25","0x8b2a8467d0b1ac6518fa13fe9ff0479963e88997","0xfb85b9ec50560e302ab106f1e2857d95132120d0","9,776","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xf7d674d70a30b13580cc828f5c9c05c9f2048a3b9ceaf8ea1f0641d9f6d918b0","16418224","1719625795","2024-06-29 01:49:55","0x6c1298e088d1eee8e2df160d3ce7ed4b67b12a3d","0xfb85b9ec50560e302ab106f1e2857d95132120d0","8,917","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xedd783e206018335371bd1157f8ae61a34bd908dc6dcc53939cea16b97e717a9","16418573","1719626493","2024-06-29 02:01:33","0x92331ccfbd75cecd3b01e21264eb6b32c8903b8d","0xfb85b9ec50560e302ab106f1e2857d95132120d0","450","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xd92ca308ed72a44bc07bfea070b353e10c59546aa8b8b0fda0ceae3cdb5e3a22","16427802","1719644951","2024-06-29 07:09:11","0xb732e1754ca477e257e2908a87919cafc5933583","0xfb85b9ec50560e302ab106f1e2857d95132120d0","53,550","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x55aed674acbcc7a1050ef7eaf26f7e4479aaafa0b27d15d0b7477c0eec4fec80","16433796","1719656939","2024-06-29 10:28:59","0x0ae12fc5d48f3d1b5dd4bac7cd53526cc9248bca","0xfb85b9ec50560e302ab106f1e2857d95132120d0","34,000","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x03b2302042cfc76f5ca0383eaefce5b8a1b862547576cf492723ff0b06760ccf","16434670","1719658687","2024-06-29 10:58:07","0x96706eb471f875a9a41442f358d3b34ba02f868b","0xfb85b9ec50560e302ab106f1e2857d95132120d0","100","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xd69c316407eea8c758e1286e6aa23360376475355df91a85915d748860a73c58","16434956","1719659259","2024-06-29 11:07:39","0x8c8e99160e4e2f354b1747af9f40af1a342e8888","0xfb85b9ec50560e302ab106f1e2857d95132120d0","297,220","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x7a0286959ac5d4d77433ffee13b8c0b92ccc7c1a9c3c6ff87f3e43e0431151b9","16436242","1719661831","2024-06-29 11:50:31","0xfb85b9ec50560e302ab106f1e2857d95132120d0","0x8c8e99160e4e2f354b1747af9f40af1a342e8888","297,220","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x74431936efa167b8c5f680c6ed72b272f449a1dbcd7de010bee4a6e8ec2b7aaf","16436807","1719662961","2024-06-29 12:09:21","0x42498d52ad820a9bcca70129736367bcaff34b39","0xfb85b9ec50560e302ab106f1e2857d95132120d0","20,393.772095718","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x5e0ce205ca8cdfed2b366b718532d7fe1b7ef7dd6e9f7b52560b761ce07752a4","16437585","1719664517","2024-06-29 12:35:17","0x874683b39accd62b952d6f13e10e41ce8306af7c","0xfb85b9ec50560e302ab106f1e2857d95132120d0","13,110.56079102505817052","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x4e7afab304b692e7876cb6f5ca80e7f8ac69d8b338243d6d5b367a57a1bde994","16440664","1719670675","2024-06-29 14:17:55","0x4090cf3f6e39dabac71c0092394084db4f183599","0xfb85b9ec50560e302ab106f1e2857d95132120d0","88,600","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x26e4259a61b5f4690b6f85d4b7bfe3b1161c8e9419db9df705ad3aa15382330f","16442880","1719675107","2024-06-29 15:31:47","0x71aa63dd27e9fa342a3aad20c4db733016e39e94","0xfb85b9ec50560e302ab106f1e2857d95132120d0","10,000.973523492","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xa476bc8f869938456a9fdef566bdc2219c0e038e27481adf2afabff05c21c354","16443586","1719676519","2024-06-29 15:55:19","0x96706eb471f875a9a41442f358d3b34ba02f868b","0xfb85b9ec50560e302ab106f1e2857d95132120d0","2,000,000","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x561d21aa3f4f757a1fc3e80990c53e89d8447ac8aafda33adc4896ef05167969","16443866","1719677079","2024-06-29 16:04:39","0x4502f749360c4c01dfaa8a6eecd945c037f18fcc","0xfb85b9ec50560e302ab106f1e2857d95132120d0","200","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xd86f47b8a15056540406231ad3bd3936733152527dc085303f15b818554a8256","16447363","1719684073","2024-06-29 18:01:13","0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","0xfb85b9ec50560e302ab106f1e2857d95132120d0","4,500.92108072802002603","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x1425f502b5bc8218223d1ea647f6c82cc7c95bd2c99bc97af4fdd28b3669dca4","16447836","1719685019","2024-06-29 18:16:59","0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","0xfb85b9ec50560e302ab106f1e2857d95132120d0","1,395.396111763695480669","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x34439c44c0c7cc69077966d981ea5ce8fe0f7e2f98b7e0d018d22f3d62218dbc","16448173","1719685693","2024-06-29 18:28:13","0x03f2efdcb4bf042edcebe7c2a22c8fcdb7e0af76","0xfb85b9ec50560e302ab106f1e2857d95132120d0","18,025.595006355","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x2459bf992cf47e6c8fc73b89393fc3457fbf4a75b6f7eb95499d4b3b7d1a8cb6","16449495","1719688337","2024-06-29 19:12:17","0xd4805a7f11c4ff14b5fc8323dbdf56481dea9fd4","0xfb85b9ec50560e302ab106f1e2857d95132120d0","998.001","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x18965a5bd79eb19df19930f060f4857e5378fa1354d17892e03d55558463aef6","16449784","1719688915","2024-06-29 19:21:55","0xd437c37c8d4042bae1b4faf4e3d6cab80ce39ce6","0xfb85b9ec50560e302ab106f1e2857d95132120d0","8","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xe74b50795544a498e30d7034208092ef275288e87ad4ab1d3ee36c897b0b2f6b","16452218","1719693783","2024-06-29 20:43:03","0xfb85b9ec50560e302ab106f1e2857d95132120d0","0xb732e1754ca477e257e2908a87919cafc5933583","6,000","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0x5ae0646349b1adb452326af4d2b759831fcef74104b133dd7f055d434ae2447d","16452542","1719694431","2024-06-29 20:53:51","0x2bcd3d21fdf2c6cbf56d561d6a78762e41684bc7","0xfb85b9ec50560e302ab106f1e2857d95132120d0","4,844.566006578","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
"0xa2b5d947fe2ce0d5b6885ddfe3245cc142606ccf5e96eb93003d0641e94937f0","16453164","1719695675","2024-06-29 21:14:35","0xf8b1063ec0b9cb92f2392ee0f454eec194771470","0xfb85b9ec50560e302ab106f1e2857d95132120d0","8,063.334600008","N/A","0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380","SOPH AI Token","SOPH"
